,Unnamed: 0,FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE,CLASS NAME
107,107,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,99.0,3.0,48000,Ramphastos tucanus,0.9674832224845886,White-throated Toucan
108,108,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,102.0,3.0,48000,Ramphastos tucanus,0.9885346293449402,White-throated Toucan
110,110,./../all_10_species/,XC101694 - Slate-throated Whitestart - Myioborus miniatus sanctaemartae.mp3,23.013895833333333,0,3.0,3.0,48000,Myioborus miniatus,0.9581961631774902,Slate-throated Whitestart
115,115,./../all_10_species/,XC101694 - Slate-throated Whitestart - Myioborus miniatus sanctaemartae.mp3,23.013895833333333,0,18.0,3.0,48000,Myioborus miniatus,0.8795861005783081,Slate-throated Whitestart
116,116,./../all_10_species/,XC101694 - Slate-throated Whitestart - Myioborus miniatus sanctaemartae.mp3,23.013895833333333,0,21.0,3.0,48000,Myioborus miniatus,0.9515561461448668,Slate-throated Whitestart
150,150,./../all_10_species/,XC38700 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,24.058791666666668,0,0.0,3.0,48000,Microcerculus marginatus,0.9758198261260986,Southern Nightingale-Wren
151,151,./../all_10_species/,XC38700 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,24.058791666666668,0,3.0,3.0,48000,Microcerculus marginatus,0.91765034198761,Southern Nightingale-Wren
155,155,./../all_10_species/,XC38700 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,24.058791666666668,0,15.0,3.0,48000,Microcerculus marginatus,0.9846649765968324,Southern Nightingale-Wren
156,156,./../all_10_species/,XC38700 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,24.058791666666668,0,18.0,3.0,48000,Microcerculus marginatus,0.968100905418396,Southern Nightingale-Wren
158,158,./../all_10_species/,XC487951 - Green-backed Trogon - Trogon viridis.mp3,7.7845,0,0.0,3.0,48000,Trogon viridis,0.5284508466720581,Green-backed Trogon
160,160,./../all_10_species/,XC487951 - Green-backed Trogon - Trogon viridis.mp3,7.7845,0,6.0,3.0,48000,Trogon viridis,0.7151947021484375,Green-backed Trogon
161,161,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,0.0,3.0,48000,Xiphorhynchus guttatus,0.7988764047622681,Buff-throated Woodcreeper
