FILENAME;CLIP LENGTH;Start (s);End (s);Scientific name;Common name;Confidence
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;36.0;39.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.29920986
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;36.0;39.0;Sasia abnormis;Rufous Piculet;0.16342692
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;39.0;42.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.67188966
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;42.0;45.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.797961
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;45.0;48.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.78003865
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;48.0;51.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.90719706
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;48.0;51.0;Hemitriccus zosterops;White-eyed Tody-Tyrant;0.11555853
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;51.0;54.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.94578606
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;51.0;54.0;Hemitriccus zosterops;White-eyed Tody-Tyrant;0.108284414
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;54.0;57.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.86974734
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;57.0;60.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9730241
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;60.0;63.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.6185071
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;63.0;66.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9140047
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;66.0;69.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9861309
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;0.0;3.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.8465483
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;0.0;3.0;Pardirallus nigricans;Blackish Rail;0.7001184
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;3.0;6.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.93244356
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;6.0;9.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9793083
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;9.0;12.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9770337
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;9.0;12.0;Pardirallus nigricans;Blackish Rail;0.3045803
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;12.0;15.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.6277994
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;12.0;15.0;Pardirallus nigricans;Blackish Rail;0.18292327
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;15.0;18.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.931067
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;15.0;18.0;Blythipicus rubiginosus;Maroon Woodpecker;0.19893438
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;21.0;24.0;Pardirallus nigricans;Blackish Rail;0.78367656
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;21.0;24.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.21011451
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;24.0;27.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.4313767
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;24.0;27.0;Pardirallus nigricans;Blackish Rail;0.23906529
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;27.0;30.0;Pardirallus nigricans;Blackish Rail;0.59609276
